,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,女　Ｆ．,6356,3732,151,483,124,-,938,981,71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,3,1,-,-,-,-,-,1,1,10,5,-,-,-,-,-,5,-,13,7,-,-,-,-,-,6,-,17,7,-,-,-,-,-,10,-,36,20,1,-,-,-,-,15,-,72,39,1,-,-,-,-,32,-,79,46,-,-,-,-,2,31,-,118,77,1,1,-,-,2,37,-
04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,総数,10703,7640,120,371,91,-,771,1687,114,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,5,-,-,-,-,-,2,-,18,16,-,-,-,-,-,2,-,8,7,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,9,5,-,-,-,-,-,4,-,11,6,-,-,-,-,-,5,-,18,5,-,-,-,-,-,12,1,24,16,-,-,-,-,-,8,-,33,21,-,-,-,-,1,10,1,66,35,1,-,-,-,1,27,2,123,79,-,-,-,-,1,36,7,211,128,1,-,-,-,1,74,7,254,143,-,1,-,-,4,99,7,312,218,-,-,-,-,5,86,3
,男　Ｍ．,5209,3789,46,132,32,-,233,943,66,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,8,7,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,7,4,-,-,-,-,-,3,-,6,5,-,-,-,-,-,1,-,11,4,-,-,-,-,-,6,1,20,13,-,-,-,-,-,7,-,16,6,-,-,-,-,1,8,1,37,20,1,-,-,-,-,14,2,77,51,-,-,-,-,1,20,5,130,80,-,-,-,-,-,44,6,162,85,-,1,-,-,2,69,5,206,139,-,-,-,-,1,64,2
,女　Ｆ．,5494,3851,74,239,59,-,538,744,48,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,10,9,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,5,1,-,-,-,-,-,4,-,7,1,-,-,-,-,-,6,-,4,3,-,-,-,-,-,1,-,17,15,-,-,-,-,-,2,-,29,15,-,-,-,-,1,13,-,46,28,-,-,-,-,-,16,2,81,48,1,-,-,-,1,30,1,92,58,-,-,-,-,2,30,2,106,79,-,-,-,-,4,22,1
05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,27954,13880,359,3225,827,-,7177,2792,521,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,3,-,-,-,-,-,2,1,12,7,-,-,-,-,-,4,1,11,10,-,-,-,-,-,1,-,9,5,-,-,-,-,-,3,1,30,18,-,-,-,-,-,10,2,48,32,2,-,-,-,-,13,1,90,45,-,-,-,-,1,38,6,152,90,2,1,1,-,3,51,5,187,113,1,2,1,-,5,64,2,278,178,2,1,-,-,10,84,3
,男　Ｍ．,10931,6882,133,995,313,-,1740,1044,137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,1,15,9,-,-,-,-,-,5,1,23,14,-,-,-,-,-,9,-,42,18,-,-,-,-,1,20,3,96,55,1,-,-,-,2,35,3,119,67,1,2,1,-,3,45,1,202,132,2,-,-,-,6,61,1
,女　Ｆ．,17023,6998,226,2230,514,-,5437,1748,384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,3,-,-,-,-,-,2,1,9,5,-,-,-,-,-,3,1,9,8,-,-,-,-,-,1,-,7,5,-,-,-,-,-,2,-,15,9,-,-,-,-,-,5,1,25,18,2,-,-,-,-,4,1,48,27,-,-,-,-,-,18,3,56,35,1,1,1,-,1,16,2,68,46,-,-,-,-,2,19,1,76,46,-,1,-,-,4,23,2
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,24666,11775,331,3092,786,-,6768,2220,480,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,10,7,1,1,1,-,1,-,-,13,9,-,1,1,-,3,-,-,58,47,1,1,-,-,6,2,1
,男　Ｍ．,9261,5757,124,943,296,-,1622,698,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,5,1,-,-,-,1,-,-,7,5,-,1,1,-,1,-,-,41,36,1,-,-,-,3,1,-
,女　Ｆ．,15405,6018,207,2149,490,-,5146,1522,363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,1,-,-,-,-,6,4,-,-,-,-,2,-,-,17,11,-,1,-,-,3,1,1
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,3288,2105,28,133,41,-,409,572,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,3,-,-,-,-,-,2,1,12,7,-,-,-,-,-,4,1,11,10,-,-,-,-,-,1,-,9,5,-,-,-,-,-,3,1,30,18,-,-,-,-,-,10,2,48,32,2,-,-,-,-,13,1,88,43,-,-,-,-,1,38,6,142,83,1,-,-,-,2,51,5,174,104,1,1,-,-,2,64,2,220,131,1,-,-,-,4,82,2
,男　Ｍ．,1670,1125,9,52,17,-,118,346,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,1,15,9,-,-,-,-,-,5,1,23,14,-,-,-,-,-,9,-,40,16,-,-,-,-,1,20,3,89,50,-,-,-,-,1,35,3,112,62,1,1,-,-,2,45,1,161,96,1,-,-,-,3,60,1
,女　Ｆ．,1618,980,19,81,24,-,291,226,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,3,-,-,-,-,-,2,1,9,5,-,-,-,-,-,3,1,9,8,-,-,-,-,-,1,-,7,5,-,-,-,-,-,2,-,15,9,-,-,-,-,-,5,1,25,18,2,-,-,-,-,4,1,48,27,-,-,-,-,-,18,3,53,33,1,-,-,-,1,16,2,62,42,-,-,-,-,-,19,1,59,35,-,-,-,-,1,22,1
06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,62946,37101,665,4142,1331,-,13473,6558,1007,21,21,-,-,-,-,-,-,-,13,12,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,11,11,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,67,64,-,-,-,-,-,3,-,25,20,-,-,-,-,-,5,-,49,48,-,-,-,-,-,1,-,63,54,2,-,-,-,-,7,-,78,62,-,-,-,-,-,15,1,85,65,1,-,-,-,1,18,-,102,77,-,-,-,-,-,23,2,120,95,-,-,-,-,2,20,3,172,131,-,1,-,-,5,31,4,317,247,2,-,-,-,12,50,6,495,370,2,5,1,-,27,86,5,754,537,10,6,4,-,66,120,15,1120,811,8,19,8,-,110,154,18
,男　Ｍ．,29089,20176,283,1413,491,-,4074,2832,311,13,13,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,40,37,-,-,-,-,-,3,-,13,11,-,-,-,-,-,2,-,27,26,-,-,-,-,-,1,-,39,34,2,-,-,-,-,3,-,51,43,-,-,-,-,-,7,1,52,42,1,-,-,-,-,9,-,66,50,-,-,-,-,-,16,-,80,63,-,-,-,-,2,14,1,110,79,-,1,-,-,3,24,3,209,163,2,-,-,-,6,33,5,311,231,1,4,1,-,16,57,2,477,354,5,1,1,-,28,79,10,717,540,5,7,2,-,67,89,9
,女　Ｆ．,33857,16925,382,2729,840,-,9399,3726,696,8,8,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,27,27,-,-,-,-,-,-,-,12,9,-,-,-,-,-,3,-,22,22,-,-,-,-,-,-,-,24,20,-,-,-,-,-,4,-,27,19,-,-,-,-,-,8,-,33,23,-,-,-,-,1,9,-,36,27,-,-,-,-,-,7,2,40,32,-,-,-,-,-,6,2,62,52,-,-,-,-,2,7,1,108,84,-,-,-,-,6,17,1,184,139,1,1,-,-,11,29,3,277,183,5,5,3,-,38,41,5,403,271,3,12,6,-,43,65,9
06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,334,313,1,4,1,-,4,11,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,9,8,-,-,-,-,-,1,-,11,10,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-
,男　Ｍ．,197,185,1,3,1,-,1,7,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,8,7,-,-,-,-,-,1,-,8,7,-,-,-,-,-,1,-
,女　Ｆ．,137,128,-,1,-,-,3,4,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-
06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,総数,2824,1702,18,21,5,-,404,636,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,2,-,-,-,-,-,2,-,14,5,-,-,-,-,1,8,-,41,18,-,-,-,-,8,15,-,68,35,-,-,-,-,5,27,1,106,56,1,-,-,-,17,30,2,203,120,1,1,-,-,32,45,4
,男　Ｍ．,1657,1062,14,11,3,-,197,346,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,8,2,-,-,-,-,1,5,-,20,10,-,-,-,-,3,7,-,48,26,-,-,-,-,5,17,-,63,37,-,-,-,-,7,17,2,131,80,1,-,-,-,21,26,3
,女　Ｆ．,1167,640,4,10,2,-,207,290,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,3,-,-,-,-,-,3,-,21,8,-,-,-,-,5,8,-,20,9,-,-,-,-,-,10,1,43,19,1,-,-,-,10,13,-,72,40,-,1,-,-,11,19,1
06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14426,9145,167,598,171,-,2876,1501,139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,17,11,-,-,-,-,3,3,-,37,25,-,1,1,-,6,4,1,102,73,1,2,-,-,12,14,-
,男　Ｍ．,7579,5291,80,268,77,-,1110,773,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,9,6,-,-,-,-,-,3,-,23,17,-,1,1,-,3,2,-,69,53,-,2,-,-,5,9,-
,女　Ｆ．,6847,3854,87,330,94,-,1766,728,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,8,5,-,-,-,-,3,-,-,14,8,-,-,-,-,3,2,1,33,20,1,-,-,-,7,5,-
06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,25595,12277,296,2630,828,-,7441,2360,591,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,1,-,-,-,-,1,1,-,20,10,-,3,2,-,5,1,1,72,49,-,5,2,-,10,5,3
,男　Ｍ．,8883,5667,89,763,271,-,1611,630,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,8,-,-,-,-,3,-,1,43,35,-,2,1,-,5,-,1
,女　Ｆ．,16712,6610,207,1867,557,-,5830,1730,468,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,1,1,-,8,2,-,3,2,-,2,1,-,29,14,-,3,1,-,5,5,2
06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,19767,13664,183,889,326,-,2748,2050,233,18,18,-,-,-,-,-,-,-,13,12,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,11,11,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,64,61,-,-,-,-,-,3,-,25,20,-,-,-,-,-,5,-,49,48,-,-,-,-,-,1,-,63,54,2,-,-,-,-,7,-,76,60,-,-,-,-,-,15,1,81,62,1,-,-,-,1,17,-,100,75,-,-,-,-,-,23,2,114,91,-,-,-,-,2,18,3,157,125,-,1,-,-,4,23,4,267,220,2,-,-,-,4,35,6,398,315,2,5,1,-,18,54,4,580,436,9,2,1,-,38,84,11,731,558,6,11,6,-,56,89,11
,男　Ｍ．,10773,7971,99,368,139,-,1155,1076,104,11,11,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,38,35,-,-,-,-,-,3,-,13,11,-,-,-,-,-,2,-,27,26,-,-,-,-,-,1,-,39,34,2,-,-,-,-,3,-,49,41,-,-,-,-,-,7,1,49,40,1,-,-,-,-,8,-,65,49,-,-,-,-,-,16,-,76,61,-,-,-,-,2,12,1,101,76,-,1,-,-,2,19,3,182,146,2,-,-,-,3,26,5,249,195,1,4,1,-,11,36,2,371,285,5,-,-,-,15,59,7,466,365,4,3,1,-,36,53,5
,女　Ｆ．,8994,5693,84,521,187,-,1593,974,129,7,7,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,26,26,-,-,-,-,-,-,-,12,9,-,-,-,-,-,3,-,22,22,-,-,-,-,-,-,-,24,20,-,-,-,-,-,4,-,27,19,-,-,-,-,-,8,-,32,22,-,-,-,-,1,9,-,35,26,-,-,-,-,-,7,2,38,30,-,-,-,-,-,6,2,56,49,-,-,-,-,2,4,1,85,74,-,-,-,-,1,9,1,149,120,1,1,-,-,7,18,2,209,151,4,2,1,-,23,25,4,265,193,2,8,5,-,20,36,6
07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,6,5,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,3,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
