令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,女　Ｆ．,9936,7373,92,20,10,-,377,2021,53,17265,12588,132,64,37,-,937,3440,104,23660,16933,212,146,62,-,1557,4647,165,28599,19871,284,302,107,-,2703,5136,303,29249,19443,417,600,204,-,3666,4731,392,22664,14268,373,740,216,-,3603,3344,336,8783,5073,144,404,125,-,1675,1329,158,1323,644,24,79,25,-,297,252,27,5,2,-,-,-,-,1,-,2
02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,総数,734,548,4,1,1,-,30,149,2,1216,885,19,4,3,-,75,227,6,1441,1024,11,7,4,-,131,262,6,1512,1019,24,15,8,-,148,293,13,1236,812,22,11,3,-,161,218,12,823,520,8,24,6,-,132,131,8,266,140,3,11,2,-,55,50,7,45,16,1,3,-,-,17,6,2,1,-,-,-,-,-,-,-,1
,男　Ｍ．,625,465,3,-,-,-,26,130,1,997,723,14,3,3,-,63,191,3,1178,848,9,6,3,-,96,215,4,1129,777,19,10,5,-,94,218,11,737,488,18,2,-,-,73,150,6,341,222,4,10,2,-,38,62,5,78,43,2,3,1,-,11,18,1,5,3,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,109,83,1,1,1,-,4,19,1,219,162,5,1,-,-,12,36,3,263,176,2,1,1,-,35,47,2,383,242,5,5,3,-,54,75,2,499,324,4,9,3,-,88,68,6,482,298,4,14,4,-,94,69,3,188,97,1,8,1,-,44,32,6,40,13,1,3,-,-,17,4,2,1,-,-,-,-,-,-,-,1
02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,総数,1039,794,9,2,-,-,28,201,5,1720,1270,19,6,4,-,83,336,6,2129,1571,19,13,3,-,131,378,17,2144,1525,24,12,6,-,147,423,13,1368,946,20,20,8,-,141,233,8,654,432,15,13,5,-,84,103,7,163,87,4,5,1,-,32,31,4,16,13,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,884,680,8,2,-,-,20,171,3,1466,1091,18,5,3,-,67,281,4,1817,1348,17,10,3,-,107,320,15,1772,1257,19,11,5,-,120,357,8,1061,726,17,18,8,-,104,192,4,441,301,10,9,5,-,50,68,3,75,44,1,1,-,-,12,17,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,155,114,1,-,-,-,8,30,2,254,179,1,1,1,-,16,55,2,312,223,2,3,-,-,24,58,2,372,268,5,1,1,-,27,66,5,307,220,3,2,-,-,37,41,4,213,131,5,4,-,-,34,35,4,88,43,3,4,1,-,20,14,4,12,9,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-
02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,総数,2498,1910,23,6,3,-,62,485,12,5026,3697,39,15,5,-,208,1037,30,6650,4808,73,36,14,-,345,1353,35,7381,5141,77,72,21,-,533,1491,67,6902,4633,85,137,40,-,669,1309,69,4619,2950,80,120,30,-,601,798,70,1448,850,20,62,22,-,236,248,32,153,82,3,4,-,-,28,34,2,1,1,-,-,-,-,-,-,-
,男　Ｍ．,1857,1433,16,6,3,-,44,348,10,3769,2781,24,15,5,-,154,772,23,4828,3523,55,22,6,-,235,970,23,5079,3507,53,48,14,-,339,1091,41,4249,2882,53,83,23,-,339,854,38,2276,1510,40,38,13,-,253,409,26,544,334,7,18,5,-,79,96,10,34,20,2,-,-,-,3,8,1,1,1,-,-,-,-,-,-,-
,女　Ｆ．,641,477,7,-,-,-,18,137,2,1257,916,15,-,-,-,54,265,7,1822,1285,18,14,8,-,110,383,12,2302,1634,24,24,7,-,194,400,26,2653,1751,32,54,17,-,330,455,31,2343,1440,40,82,17,-,348,389,44,904,516,13,44,17,-,157,152,22,119,62,1,4,-,-,25,26,1,-,-,-,-,-,-,-,-,-
