令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
09204　　　慢性非リウマチ性心内膜疾患　　　　　　　　　　　　　　　　　　　　　,総数,138,107,1,-,-,-,1,26,3,321,261,4,3,-,-,6,43,4,638,525,8,3,-,-,20,79,3,1376,1094,13,42,13,-,65,154,8,2754,2110,38,80,24,-,203,307,16,3604,2609,54,165,44,-,347,395,34,2128,1383,26,134,38,-,283,277,25,409,248,7,27,8,-,56,64,7,-,-,-,-,-,-,-,-,-
,男　Ｍ．,95,68,1,-,-,-,1,22,3,197,156,3,-,-,-,5,30,3,329,273,7,1,-,-,11,36,1,661,548,6,11,7,-,30,62,4,1030,807,9,26,9,-,50,134,4,962,727,11,32,6,-,63,121,8,380,269,3,16,4,-,41,48,3,43,27,3,2,-,-,5,6,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,43,39,-,-,-,-,-,4,-,124,105,1,3,-,-,1,13,1,309,252,1,2,-,-,9,43,2,715,546,7,31,6,-,35,92,4,1724,1303,29,54,15,-,153,173,12,2642,1882,43,133,38,-,284,274,26,1748,1114,23,118,34,-,242,229,22,366,221,4,25,8,-,51,58,7,-,-,-,-,-,-,-,-,-
09205　　　心筋症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,197,150,1,1,-,-,4,40,1,289,226,3,4,2,-,10,40,6,401,311,5,5,2,-,9,69,2,561,436,2,15,4,-,29,77,2,646,500,9,24,7,-,39,71,3,509,361,9,21,8,-,58,55,5,173,116,2,7,1,-,26,20,2,28,15,-,3,1,-,5,4,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,149,109,1,1,-,-,3,34,1,199,151,3,2,-,-,4,34,5,278,214,3,4,2,-,7,48,2,317,245,1,7,3,-,12,51,1,269,201,4,8,3,-,15,41,-,168,124,4,5,2,-,12,21,2,37,25,-,1,-,-,5,6,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,48,41,-,-,-,-,1,6,-,90,75,-,2,2,-,6,6,1,123,97,2,1,-,-,2,21,-,244,191,1,8,1,-,17,26,1,377,299,5,16,4,-,24,30,3,341,237,5,16,6,-,46,34,3,136,91,2,6,1,-,21,14,2,27,15,-,3,1,-,5,3,1,-,-,-,-,-,-,-,-,-
09206　　　不整脈及び伝導障害　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1449,806,2,-,-,-,17,585,39,2632,1612,11,13,7,-,45,882,69,3748,2404,17,51,14,-,95,1131,50,5771,3883,52,113,40,-,235,1430,58,7438,5038,90,260,92,-,459,1509,82,7531,5055,104,350,110,-,733,1219,70,3624,2277,50,247,72,-,513,480,57,729,398,14,67,14,-,129,105,16,4,1,-,-,-,-,-,-,3
,男　Ｍ．,1093,594,2,-,-,-,15,451,31,1861,1125,6,9,5,-,29,640,52,2442,1561,8,34,7,-,60,746,33,3277,2264,28,52,20,-,107,791,35,3590,2461,45,104,47,-,182,751,47,2694,1842,24,106,35,-,178,515,29,865,549,13,53,11,-,84,150,16,107,56,1,8,3,-,18,21,3,4,1,-,-,-,-,-,-,3
,女　Ｆ．,356,212,-,-,-,-,2,134,8,771,487,5,4,2,-,16,242,17,1306,843,9,17,7,-,35,385,17,2494,1619,24,61,20,-,128,639,23,3848,2577,45,156,45,-,277,758,35,4837,3213,80,244,75,-,555,704,41,2759,1728,37,194,61,-,429,330,41,622,342,13,59,11,-,111,84,13,-,-,-,-,-,-,-,-,-
09207　　　心不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1815,1065,18,31,17,-,71,591,39,4128,2615,44,104,40,-,199,1111,55,7137,4858,84,247,88,-,437,1442,69,13338,9502,197,609,190,-,1008,1924,98,21899,15584,349,1219,386,-,2187,2379,181,26677,18037,438,1856,560,-,3547,2494,305,16947,10498,321,1428,383,-,2885,1595,220,3947,2106,81,417,105,-,834,443,66,10,3,-,-,-,-,2,1,4
,男　Ｍ．,1313,738,12,19,10,-,48,465,31,2841,1743,29,69,30,-,135,823,42,4341,2927,55,136,46,-,247,928,48,7276,5267,101,290,92,-,473,1096,49,9893,7245,148,448,133,-,757,1221,74,9066,6476,138,534,145,-,887,950,81,3887,2551,80,284,65,-,520,405,47,549,332,5,46,7,-,86,73,7,7,3,-,-,-,-,2,1,1
,女　Ｆ．,502,327,6,12,7,-,23,126,8,1287,872,15,35,10,-,64,288,13,2796,1931,29,111,42,-,190,514,21,6062,4235,96,319,98,-,535,828,49,12006,8339,201,771,253,-,1430,1158,107,17611,11561,300,1322,415,-,2660,1544,224,13060,7947,241,1144,318,-,2365,1190,173,3398,1774,76,371,98,-,748,370,59,3,-,-,-,-,-,-,-,3
09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,426,232,1,-,-,-,5,177,11,748,427,1,6,4,-,6,292,16,1101,694,5,4,-,-,11,366,21,1277,833,2,17,2,-,23,384,18,1362,915,6,19,6,-,39,362,21,970,684,7,25,7,-,44,204,6,368,250,3,19,3,-,31,65,-,59,37,-,3,-,-,9,10,-,3,1,-,-,-,-,-,-,2
,男　Ｍ．,312,170,-,-,-,-,5,130,7,517,282,1,6,4,-,2,216,10,695,430,3,4,-,-,7,232,19,695,430,1,10,2,-,10,231,13,680,461,3,6,1,-,16,179,15,358,249,1,8,2,-,13,86,1,114,78,2,4,-,-,5,25,-,13,5,-,-,-,-,3,5,-,2,1,-,-,-,-,-,-,1
,女　Ｆ．,114,62,1,-,-,-,-,47,4,231,145,-,-,-,-,4,76,6,406,264,2,-,-,-,4,134,2,582,403,1,7,-,-,13,153,5,682,454,3,13,5,-,23,183,6,612,435,6,17,5,-,31,118,5,254,172,1,15,3,-,26,40,-,46,32,-,3,-,-,6,5,-,1,-,-,-,-,-,-,-,1
09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,4093,2772,47,103,47,-,181,944,46,8067,5597,84,316,162,-,541,1447,82,12402,8796,141,644,307,-,972,1765,84,17584,12541,216,1143,525,-,1537,2045,102,21343,14795,287,1652,776,-,2370,2106,133,19376,12877,279,1756,743,-,2779,1526,159,9200,5595,131,927,394,-,1718,731,98,1818,930,27,223,78,-,452,171,15,7,3,-,-,-,-,-,-,4
,男　Ｍ．,2958,1913,34,77,36,-,153,740,41,5582,3792,66,229,112,-,386,1039,70,7909,5590,90,439,217,-,611,1120,59,9831,7106,134,645,313,-,778,1108,60,9849,7079,141,697,340,-,915,965,52,6513,4580,89,514,233,-,693,593,44,2006,1323,33,172,77,-,298,169,11,207,102,4,19,7,-,51,28,3,5,2,-,-,-,-,-,-,3
,女　Ｆ．,1135,859,13,26,11,-,28,204,5,2485,1805,18,87,50,-,155,408,12,4493,3206,51,205,90,-,361,645,25,7753,5435,82,498,212,-,759,937,42,11494,7716,146,955,436,-,1455,1141,81,12863,8297,190,1242,510,-,2086,933,115,7194,4272,98,755,317,-,1420,562,87,1611,828,23,204,71,-,401,143,12,2,1,-,-,-,-,-,-,1
09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,775,553,4,10,5,-,18,178,12,1150,833,7,18,11,-,42,242,8,1447,1094,9,34,14,-,38,261,11,1675,1272,7,45,22,-,70,271,10,1644,1259,13,48,19,-,88,229,7,1178,852,12,65,37,-,70,174,5,396,279,3,23,15,-,43,41,7,35,29,-,3,1,-,2,1,-,1,-,-,-,-,-,-,-,1
,男　Ｍ．,370,217,2,6,3,-,10,125,10,526,327,2,4,2,-,23,165,5,497,337,3,11,6,-,7,135,4,506,358,2,10,4,-,19,112,5,388,266,2,9,3,-,22,85,4,195,124,2,8,7,-,8,52,1,49,33,1,1,1,-,5,8,1,3,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,405,336,2,4,2,-,8,53,2,624,506,5,14,9,-,19,77,3,950,757,6,23,8,-,31,126,7,1169,914,5,35,18,-,51,159,5,1256,993,11,39,16,-,66,144,3,983,728,10,57,30,-,62,122,4,347,246,2,22,14,-,38,33,6,32,26,-,3,1,-,2,1,-,-,-,-,-,-,-,-,-,-
09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1958,1250,22,33,13,-,69,559,25,3316,2226,22,121,66,-,153,748,46,4563,3147,38,181,93,-,263,895,39,5699,3965,47,302,152,-,388,959,38,6126,4310,55,368,184,-,485,879,29,4377,3004,48,324,148,-,470,502,29,1560,1056,13,117,51,-,199,165,10,240,142,4,31,13,-,41,20,2,3,1,-,-,-,-,-,-,2
,男　Ｍ．,1504,933,17,24,9,-,61,445,24,2327,1551,19,88,46,-,104,524,41,2879,2002,26,117,63,-,164,542,28,3065,2202,27,157,84,-,170,494,15,2725,2023,21,139,72,-,160,371,11,1478,1066,15,80,48,-,103,204,10,359,269,1,18,9,-,26,44,1,37,26,1,1,1,-,4,4,1,2,1,-,-,-,-,-,-,1
,女　Ｆ．,454,317,5,9,4,-,8,114,1,989,675,3,33,20,-,49,224,5,1684,1145,12,64,30,-,99,353,11,2634,1763,20,145,68,-,218,465,23,3401,2287,34,229,112,-,325,508,18,2899,1938,33,244,100,-,367,298,19,1201,787,12,99,42,-,173,121,9,203,116,3,30,12,-,37,16,1,1,-,-,-,-,-,-,-,1
09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1197,907,17,57,28,-,92,117,7,3278,2418,49,172,84,-,321,295,23,5989,4404,90,411,193,-,638,418,28,9690,7078,154,768,343,-,1025,615,50,12976,9006,208,1188,560,-,1699,784,91,13324,8832,209,1311,544,-,2123,730,119,7008,4186,108,757,326,-,1407,479,71,1496,749,23,186,64,-,392,136,10,3,2,-,-,-,-,-,-,1
,男　Ｍ．,968,724,11,44,23,-,80,103,6,2508,1839,41,132,63,-,244,232,20,4294,3163,59,305,144,-,425,321,21,5988,4423,100,465,221,-,560,404,36,6478,4687,111,534,258,-,700,411,35,4669,3316,72,407,172,-,553,289,32,1542,994,29,148,66,-,253,110,8,158,71,3,18,6,-,47,19,-,2,1,-,-,-,-,-,-,1
,女　Ｆ．,229,183,6,13,5,-,12,14,1,770,579,8,40,21,-,77,63,3,1695,1241,31,106,49,-,213,97,7,3702,2655,54,303,122,-,465,211,14,6498,4319,97,654,302,-,999,373,56,8655,5516,137,904,372,-,1570,441,87,5466,3192,79,609,260,-,1154,369,63,1338,678,20,168,58,-,345,117,10,1,1,-,-,-,-,-,-,-
09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,163,62,4,3,1,-,2,90,2,323,120,6,5,1,-,25,162,5,403,151,4,18,7,-,33,191,6,520,226,8,28,8,-,54,200,4,597,220,11,48,13,-,98,214,6,497,189,10,56,14,-,116,120,6,236,74,7,30,2,-,69,46,10,47,10,-,3,-,-,17,14,3,-,-,-,-,-,-,-,-,-
,男　Ｍ．,116,39,4,3,1,-,2,67,1,221,75,4,5,1,-,15,118,4,239,88,2,6,4,-,15,122,6,272,123,5,13,4,-,29,98,4,258,103,7,15,7,-,33,98,2,171,74,-,19,6,-,29,48,1,56,27,2,5,1,-,14,7,1,9,2,-,-,-,-,-,5,2,-,-,-,-,-,-,-,-,-
,女　Ｆ．,47,23,-,-,-,-,-,23,1,102,45,2,-,-,-,10,44,1,164,63,2,12,3,-,18,69,-,248,103,3,15,4,-,25,102,-,339,117,4,33,6,-,65,116,4,326,115,10,37,8,-,87,72,5,180,47,5,25,1,-,55,39,9,38,8,-,3,-,-,17,9,1,-,-,-,-,-,-,-,-,-
09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1085,934,1,-,-,-,4,130,16,1896,1601,7,9,2,-,12,228,39,2944,2594,7,10,3,-,24,286,23,3712,3220,25,23,7,-,77,336,31,4170,3601,20,38,7,-,84,409,18,3207,2767,20,56,26,-,94,255,15,1188,978,6,29,12,-,80,92,3,153,113,3,6,2,-,17,12,2,3,2,-,-,-,-,-,-,1
,男　Ｍ．,748,630,-,-,-,-,3,103,12,1147,953,4,7,1,-,6,145,32,1596,1405,6,7,2,-,13,158,7,1843,1590,17,12,3,-,35,167,22,1782,1534,14,20,5,-,32,172,10,1047,880,7,17,7,-,28,112,3,287,229,3,8,1,-,20,27,-,28,15,2,1,-,-,5,4,1,2,1,-,-,-,-,-,-,1
,女　Ｆ．,337,304,1,-,-,-,1,27,4,749,648,3,2,1,-,6,83,7,1348,1189,1,3,1,-,11,128,16,1869,1630,8,11,4,-,42,169,9,2388,2067,6,18,2,-,52,237,8,2160,1887,13,39,19,-,66,143,12,901,749,3,21,11,-,60,65,3,125,98,1,5,2,-,12,8,1,1,1,-,-,-,-,-,-,-
09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,457,300,3,-,-,-,4,142,8,798,547,10,5,2,-,18,206,12,1126,846,4,13,3,-,27,225,11,1525,1150,17,17,7,-,62,269,10,1790,1378,17,41,15,-,118,225,11,1617,1168,21,61,22,-,198,150,19,923,651,12,55,13,-,125,72,8,214,134,2,16,6,-,42,19,1,2,2,-,-,-,-,-,-,-
,男　Ｍ．,322,202,2,-,-,-,3,110,5,562,364,9,4,1,-,13,163,9,713,533,1,7,1,-,16,147,9,780,575,10,8,3,-,33,148,6,720,562,8,6,2,-,39,102,3,479,354,5,15,6,-,35,66,4,133,99,3,2,-,-,17,12,-,21,17,-,-,-,-,3,-,1,1,1,-,-,-,-,-,-,-
,女　Ｆ．,135,98,1,-,-,-,1,32,3,236,183,1,1,1,-,5,43,3,413,313,3,6,2,-,11,78,2,745,575,7,9,4,-,29,121,4,1070,816,9,35,13,-,79,123,8,1138,814,16,46,16,-,163,84,15,790,552,9,53,13,-,108,60,8,193,117,2,16,6,-,39,19,-,1,1,-,-,-,-,-,-,-
10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,4778,4020,50,47,18,-,178,450,33,12106,10202,156,190,92,-,539,961,58,22490,18993,265,468,216,-,1068,1606,90,38782,32772,510,978,446,-,2008,2351,163,50343,41910,778,1684,776,-,3272,2447,252,45771,37117,784,1836,758,-,3596,2159,279,21595,16680,383,1027,431,-,2137,1200,168,4111,2903,73,271,87,-,534,293,37,16,10,-,1,-,-,1,-,4
,男　Ｍ．,3720,3115,42,35,13,-,136,365,27,9415,7927,131,137,67,-,414,759,47,17018,14473,207,321,156,-,731,1224,62,27096,23125,351,622,281,-,1196,1695,107,31700,26893,439,972,442,-,1667,1584,145,23821,19870,402,848,330,-,1440,1149,112,8373,6749,147,322,127,-,640,458,57,982,739,17,49,10,-,106,64,7,10,5,-,-,-,-,1,-,4
,女　Ｆ．,1058,905,8,12,5,-,42,85,6,2691,2275,25,53,25,-,125,202,11,5472,4520,58,147,60,-,337,382,28,11686,9647,159,356,165,-,812,656,56,18643,15017,339,712,334,-,1605,863,107,21950,17247,382,988,428,-,2156,1010,167,13222,9931,236,705,304,-,1497,742,111,3129,2164,56,222,77,-,428,229,30,6,5,-,1,-,-,-,-,-
10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,89,70,-,2,2,-,3,14,-,189,150,2,4,-,-,8,24,1,291,243,3,10,5,-,11,24,-,447,364,6,16,3,-,28,31,2,602,470,6,24,11,-,72,27,3,584,444,11,20,7,-,80,25,4,271,187,2,18,6,-,50,11,3,64,38,-,5,2,-,15,6,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,61,46,-,-,-,-,2,13,-,142,112,2,4,-,-,7,16,1,193,159,3,6,3,-,6,19,-,277,228,5,6,1,-,15,22,1,293,240,2,7,1,-,30,11,3,241,197,5,4,1,-,21,14,-,64,47,1,3,-,-,10,2,1,12,8,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,28,24,-,2,2,-,1,1,-,47,38,-,-,-,-,1,8,-,98,84,-,4,2,-,5,5,-,170,136,1,10,2,-,13,9,1,309,230,4,17,10,-,42,16,-,343,247,6,16,6,-,59,11,4,207,140,1,15,6,-,40,9,2,52,30,-,5,2,-,12,5,-,-,-,-,-,-,-,-,-,-
10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1623,1392,25,25,8,-,64,103,14,4020,3443,67,78,41,-,201,211,20,7638,6580,121,190,101,-,385,333,29,13996,12197,229,383,196,-,635,502,50,19812,16966,366,673,328,-,1108,618,81,19479,16255,435,737,324,-,1291,644,117,9708,7765,215,418,180,-,816,422,72,1910,1425,42,125,43,-,186,116,16,8,5,-,-,-,-,1,-,2
,男　Ｍ．,1223,1046,19,19,7,-,46,82,11,3124,2669,58,58,31,-,162,161,16,5657,4896,97,129,74,-,263,251,21,9567,8409,152,242,121,-,381,351,32,12035,10487,202,384,179,-,540,377,45,9495,8120,208,320,138,-,481,322,44,3544,2949,77,120,54,-,233,142,23,423,332,9,22,4,-,35,21,4,6,3,-,-,-,-,1,-,2
,女　Ｆ．,400,346,6,6,1,-,18,21,3,896,774,9,20,10,-,39,50,4,1981,1684,24,61,27,-,122,82,8,4429,3788,77,141,75,-,254,151,18,7777,6479,164,289,149,-,568,241,36,9984,8135,227,417,186,-,810,322,73,6164,4816,138,298,126,-,583,280,49,1487,1093,33,103,39,-,151,95,12,2,2,-,-,-,-,-,-,-
10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1,-,-,-,-,-,1,-,-,7,3,1,-,-,-,2,1,-,14,6,-,-,-,-,5,2,1,30,17,-,2,1,-,8,2,1,41,21,1,5,1,-,11,2,1,58,23,2,6,1,-,17,7,3,40,17,-,3,-,-,10,9,1,16,6,-,3,-,-,5,2,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,1,-,-,-,-,-,1,-,-,4,1,1,-,-,-,1,1,-,10,5,-,-,-,-,3,1,1,15,10,-,-,-,-,4,-,1,20,10,-,2,1,-,8,-,-,19,8,1,2,-,-,6,2,-,7,6,-,-,-,-,1,-,-,2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,1,-,-,4,1,-,-,-,-,2,1,-,15,7,-,2,1,-,4,2,-,21,11,1,3,-,-,3,2,1,39,15,1,4,1,-,11,5,3,33,11,-,3,-,-,9,9,1,14,6,-,2,-,-,4,2,-,-,-,-,-,-,-,-,-,-
10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,554,399,6,1,-,-,17,124,7,1538,1181,13,16,8,-,50,267,11,2784,2151,26,49,16,-,101,439,18,3958,3064,45,82,36,-,205,540,22,3817,2814,65,142,61,-,282,479,35,2628,1830,57,120,36,-,285,314,22,914,551,21,61,18,-,145,125,11,96,42,2,8,-,-,19,22,3,1,-,-,-,-,-,-,-,1
,男　Ｍ．,474,339,6,1,-,-,14,107,7,1341,1023,11,13,6,-,45,238,11,2465,1914,21,44,15,-,82,388,16,3411,2671,37,69,29,-,149,467,18,3192,2426,49,108,48,-,187,391,31,2103,1499,49,95,25,-,192,251,17,635,411,14,37,11,-,79,88,6,48,26,-,2,-,-,6,14,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,80,60,-,-,-,-,3,17,-,197,158,2,3,2,-,5,29,-,319,237,5,5,1,-,19,51,2,547,393,8,13,7,-,56,73,4,625,388,16,34,13,-,95,88,4,525,331,8,25,11,-,93,63,5,279,140,7,24,7,-,66,37,5,48,16,2,6,-,-,13,8,3,-,-,-,-,-,-,-,-,-
10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,37,21,-,1,-,-,-,13,2,67,47,-,-,-,-,1,18,1,107,76,-,2,-,-,4,25,-,158,115,2,10,2,-,10,21,-,216,133,7,19,4,-,20,34,3,214,108,2,24,8,-,46,29,5,133,60,2,12,2,-,38,17,4,36,11,1,5,1,-,14,4,1,-,-,-,-,-,-,-,-,-
,男　Ｍ．,25,15,-,-,-,-,-,9,1,36,25,-,-,-,-,-,10,1,53,33,-,2,-,-,3,15,-,65,50,1,4,1,-,3,7,-,83,49,5,7,1,-,2,18,2,60,34,-,7,2,-,5,12,2,23,12,-,1,-,-,6,4,-,4,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,12,6,-,1,-,-,-,4,1,31,22,-,-,-,-,1,8,-,54,43,-,-,-,-,1,10,-,93,65,1,6,1,-,7,14,-,133,84,2,12,3,-,18,16,1,154,74,2,17,6,-,41,17,3,110,48,2,11,2,-,32,13,4,32,10,1,5,1,-,13,3,-,-,-,-,-,-,-,-,-,-
10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,2474,2138,19,18,8,-,93,196,10,6285,5378,73,92,43,-,277,440,25,11656,9937,115,217,94,-,562,783,42,20193,17015,228,485,208,-,1122,1255,88,25855,21506,333,821,371,-,1779,1287,129,22808,18457,277,929,382,-,1877,1140,128,10529,8100,143,515,225,-,1078,616,77,1989,1381,28,125,41,-,295,143,17,7,5,-,1,-,-,-,-,1
,男　Ｍ．,1936,1669,17,15,6,-,73,154,8,4768,4097,59,62,30,-,199,333,18,8640,7466,86,140,64,-,374,550,24,13761,11757,156,301,129,-,644,848,55,16077,13681,181,464,212,-,900,787,64,11903,10012,139,420,164,-,735,548,49,4100,3324,55,161,62,-,311,222,27,493,372,8,24,6,-,60,27,2,3,2,-,-,-,-,-,-,1
,女　Ｆ．,538,469,2,3,2,-,20,42,2,1517,1281,14,30,13,-,78,107,7,3016,2471,29,77,30,-,188,233,18,6432,5258,72,184,79,-,478,407,33,9778,7825,152,357,159,-,879,500,65,10905,8445,138,509,218,-,1142,592,79,6429,4776,88,354,163,-,767,394,50,1496,1009,20,101,35,-,235,116,15,4,3,-,1,-,-,-,-,-
10601　　　誤嚥性肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,894,788,7,16,7,-,59,24,-,2547,2169,41,62,29,-,185,80,10,5447,4685,55,137,62,-,383,162,25,10862,9202,133,328,152,-,746,409,44,16468,13750,208,579,288,-,1238,608,85,16651,13702,193,686,285,-,1309,676,85,8363,6606,113,396,183,-,751,439,58,1673,1204,24,97,37,-,221,112,15,5,4,-,1,-,-,-,-,-
,男　Ｍ．,715,627,6,13,5,-,50,19,-,1975,1681,35,46,24,-,143,62,8,4093,3553,42,94,45,-,270,122,12,7617,6541,98,223,99,-,446,279,30,10462,8932,113,348,170,-,663,360,46,8788,7454,102,325,130,-,551,323,33,3259,2691,43,126,50,-,222,158,19,421,321,7,18,5,-,51,22,2,2,2,-,-,-,-,-,-,-
,女　Ｆ．,179,161,1,3,2,-,9,5,-,572,488,6,16,5,-,42,18,2,1354,1132,13,43,17,-,113,40,13,3245,2661,35,105,53,-,300,130,14,6006,4818,95,231,118,-,575,248,39,7863,6248,91,361,155,-,758,353,52,5104,3915,70,270,133,-,529,281,39,1252,883,17,79,32,-,170,90,13,3,2,-,1,-,-,-,-,-
10602　　　間質性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1033,899,6,1,-,-,10,111,6,2513,2177,18,8,1,-,47,258,5,4147,3564,32,19,9,-,79,445,8,6153,5252,53,53,19,-,172,605,18,5662,4855,71,80,27,-,214,420,22,3209,2603,45,75,31,-,206,267,13,874,652,12,31,11,-,90,83,6,87,58,3,7,3,-,11,8,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,813,714,6,1,-,-,7,81,4,1937,1685,12,5,-,-,31,200,4,3106,2720,24,8,3,-,45,306,3,4139,3572,31,27,11,-,86,412,11,3404,2965,36,33,12,-,96,266,8,1665,1426,21,25,9,-,65,124,4,383,301,6,9,3,-,35,30,2,23,17,1,2,-,-,2,1,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,220,185,-,-,-,-,3,30,2,576,492,6,3,1,-,16,58,1,1041,844,8,11,6,-,34,139,5,2014,1680,22,26,8,-,86,193,7,2258,1890,35,47,15,-,118,154,14,1544,1177,24,50,22,-,141,143,9,491,351,6,22,8,-,55,53,4,64,41,2,5,3,-,9,7,-,-,-,-,-,-,-,-,-,-
10603　　　その他の呼吸器系の疾患（10601及び10602を除く）　　　　　　　　　　　,総数,547,451,6,1,1,-,24,61,4,1225,1032,14,22,13,-,45,102,10,2062,1688,28,61,23,-,100,176,9,3178,2561,42,104,37,-,204,241,26,3725,2901,54,162,56,-,327,259,22,2948,2152,39,168,66,-,362,197,30,1292,842,18,88,31,-,237,94,13,229,119,1,21,1,-,63,23,2,2,1,-,-,-,-,-,-,1
,男　Ｍ．,408,328,5,1,1,-,16,54,4,856,731,12,11,6,-,25,71,6,1441,1193,20,38,16,-,59,122,9,2005,1644,27,51,19,-,112,157,14,2211,1784,32,83,30,-,141,161,10,1450,1132,16,70,25,-,119,101,12,458,332,6,26,9,-,54,34,6,49,34,-,4,1,-,7,4,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,139,123,1,-,-,-,8,7,-,369,301,2,11,7,-,20,31,4,621,495,8,23,7,-,41,54,-,1173,917,15,53,18,-,92,84,12,1514,1117,22,79,26,-,186,98,12,1498,1020,23,98,41,-,243,96,18,834,510,12,62,22,-,183,60,7,180,85,1,17,-,-,56,19,2,1,1,-,-,-,-,-,-,-
11000　消化器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3174,2445,13,22,10,-,50,610,34,5262,4266,52,43,18,-,127,747,27,6933,5888,40,83,43,-,171,719,32,9496,8121,86,191,86,-,364,695,39,11136,9535,130,264,109,-,525,643,39,9765,8193,119,352,118,-,620,427,54,4883,3862,56,233,80,-,433,267,32,915,663,11,59,14,-,110,66,6,7,4,-,-,-,-,-,-,3
,男　Ｍ．,2418,1792,10,17,6,-,40,529,30,3646,2878,41,33,13,-,87,582,25,4458,3745,26,54,29,-,94,512,27,5412,4670,47,90,40,-,169,424,12,5294,4600,53,99,36,-,191,335,16,3483,2982,46,102,39,-,173,168,12,1160,988,11,25,9,-,67,60,9,143,115,-,6,2,-,13,9,-,6,3,-,-,-,-,-,-,3
,女　Ｆ．,756,653,3,5,4,-,10,81,4,1616,1388,11,10,5,-,40,165,2,2475,2143,14,29,14,-,77,207,5,4084,3451,39,101,46,-,195,271,27,5842,4935,77,165,73,-,334,308,23,6282,5211,73,250,79,-,447,259,42,3723,2874,45,208,71,-,366,207,23,772,548,11,53,12,-,97,57,6,1,1,-,-,-,-,-,-,-
